Account_ID,Account_Name,Amount,Closed,Product_Name,Product_Owned,Propensity_to_Buy
0014x00001KSH3nAAH,"Omega, Inc.",77507,TRUE,Product A,33,0.55
0014x00001KSH3nAAH,"Omega, Inc.",100000,FALSE,Product B,,0.45
0014x00001KSH3nAAH,"Omega, Inc.",23252,TRUE,Product C,67,0.37
0014x00001KSH3nAAH,"Omega, Inc.",131762,TRUE,Product D,55,0.18
0014x00001KSH3nAAH,"Omega, Inc.",15000,FALSE,Product E,11,0.73
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",4294,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",4294,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",12269,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",13157,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",4000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",23252,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",12263,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",60000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",46504,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",15920,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",7361,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",36144,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",7361,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",7361,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",9690,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",50000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",15000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",150000,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",921,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",660375,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",14208,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",32000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",18000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",124011,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",38753,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",250000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",38753,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",60000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",65000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",15501,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",15501,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",5000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",100000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",87209,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",5000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",20000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",110000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",10000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",38753,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",25000,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",61349,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",15350,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",50000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",101000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",51000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",136500,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",310029,FALSE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",14000,TRUE,Do Not Include,,
0014x00001KSH3nAAH,"Omega, Inc.",14754,TRUE,Do Not Include,,
